entry,at,order
"The player ""BDSuckout @ _9tNhnOi1R"" sit back with the stack of 1174.62.",2020-11-27T09:14:55.914Z,160646849591500
"The player ""Dhruv @ jiNcb_8FNC"" passed the room ownership to ""josh @ Cg8enqeOhO"".",2020-11-27T07:59:26.824Z,160646396682500
"The player ""Dhruv @ jiNcb_8FNC"" quits the game with a stack of 155.79.",2020-11-27T07:52:32.540Z,160646355254500
"-- ending hand #421 --",2020-11-27T07:52:29.631Z,160646354963202
"""josh @ Cg8enqeOhO"" collected 2.00 from pot",2020-11-27T07:52:29.631Z,160646354963201
"Uncalled bet of 1.25 returned to ""josh @ Cg8enqeOhO""",2020-11-27T07:52:29.631Z,160646354963200
"""Dhruv @ jiNcb_8FNC"" folds",2020-11-27T07:52:28.825Z,160646354882600
"""josh @ Cg8enqeOhO"" raises to 2.25",2020-11-27T07:52:27.687Z,160646354768800
"""Dhruv @ jiNcb_8FNC"" posts a big blind of 1.00",2020-11-27T07:52:24.971Z,160646354497205
"""josh @ Cg8enqeOhO"" posts a small blind of 0.50",2020-11-27T07:52:24.971Z,160646354497204
"Player stacks: #7 ""Dhruv @ jiNcb_8FNC"" (156.79) | #10 ""josh @ Cg8enqeOhO"" (238.38)",2020-11-27T07:52:24.971Z,160646354497201
"-- starting hand #421  (No Limit Texas Hold'em) (dealer: ""josh @ Cg8enqeOhO"") --",2020-11-27T07:52:24.971Z,160646354497200
"-- ending hand #420 --",2020-11-27T07:52:22.060Z,160646354206102
"""josh @ Cg8enqeOhO"" collected 1.00 from pot",2020-11-27T07:52:22.060Z,160646354206101
"Uncalled bet of 0.50 returned to ""josh @ Cg8enqeOhO""",2020-11-27T07:52:22.060Z,160646354206100
"""Dhruv @ jiNcb_8FNC"" folds",2020-11-27T07:52:21.252Z,160646354125300
"""josh @ Cg8enqeOhO"" posts a big blind of 1.00",2020-11-27T07:52:19.759Z,160646353976005
"""Dhruv @ jiNcb_8FNC"" posts a small blind of 0.50",2020-11-27T07:52:19.759Z,160646353976004
"Player stacks: #7 ""Dhruv @ jiNcb_8FNC"" (157.29) | #10 ""josh @ Cg8enqeOhO"" (237.88)",2020-11-27T07:52:19.759Z,160646353976001
"-- starting hand #420  (No Limit Texas Hold'em) (dealer: ""Dhruv @ jiNcb_8FNC"") --",2020-11-27T07:52:19.759Z,160646353976000
"""Dhruv @ jiNcb_8FNC"" shows a A♠, 10♠.",2020-11-27T07:52:16.684Z,160646353668500
"-- ending hand #419 --",2020-11-27T07:52:16.135Z,160646353613602
"""Dhruv @ jiNcb_8FNC"" collected 41.24 from pot",2020-11-27T07:52:16.135Z,160646353613601
"Uncalled bet of 116.05 returned to ""Dhruv @ jiNcb_8FNC""",2020-11-27T07:52:16.135Z,160646353613600
"""josh @ Cg8enqeOhO"" folds",2020-11-27T07:52:15.323Z,160646353532300
"""Dhruv @ jiNcb_8FNC"" raises to 131.05 and go all in",2020-11-27T07:52:12.658Z,160646353265900
"""josh @ Cg8enqeOhO"" raises to 15.00",2020-11-27T07:52:10.199Z,160646353019900
"""Dhruv @ jiNcb_8FNC"" raises to 6.00",2020-11-27T07:52:02.424Z,160646352242500
"""josh @ Cg8enqeOhO"" bets 3.00",2020-11-27T07:51:55.367Z,160646351536800
"""Dhruv @ jiNcb_8FNC"" checks",2020-11-27T07:51:51.510Z,160646351151100
"flop:  [5♠, 6♠, 5♣]",2020-11-27T07:51:49.346Z,160646350934700
"""josh @ Cg8enqeOhO"" calls 5.62",2020-11-27T07:51:48.539Z,160646350854000
"""Dhruv @ jiNcb_8FNC"" raises to 5.62",2020-11-27T07:51:45.305Z,160646350530600
"""josh @ Cg8enqeOhO"" raises to 2.25",2020-11-27T07:51:42.209Z,160646350221000
"""Dhruv @ jiNcb_8FNC"" posts a big blind of 1.00",2020-11-27T07:51:38.510Z,160646349851005
"""josh @ Cg8enqeOhO"" posts a small blind of 0.50",2020-11-27T07:51:38.510Z,160646349851004
"Player stacks: #7 ""Dhruv @ jiNcb_8FNC"" (136.67) | #10 ""josh @ Cg8enqeOhO"" (258.50)",2020-11-27T07:51:38.510Z,160646349851001
