entry,at,order
"The player ""Raymond @ yMVkaBsnXz"" stand up with the stack of 16281.35.",2024-06-17T18:41:14.267Z,171864967426700
"-- ending hand #1843 --",2024-06-17T18:41:11.320Z,171864967132002
"""Raymond @ yMVkaBsnXz"" collected 30.00 from pot",2024-06-17T18:41:11.320Z,171864967132001
"Uncalled bet of 10.00 returned to ""Raymond @ yMVkaBsnXz""",2024-06-17T18:41:11.320Z,171864967132000
"""Thomers @ 4zGvRs2813"" folds",2024-06-17T18:41:10.461Z,171864967046100
"""Raymond @ yMVkaBsnXz"" bets 10.00",2024-06-17T18:41:07.613Z,171864966761300
"""Thomers @ 4zGvRs2813"" checks",2024-06-17T18:41:05.042Z,171864966504200
"Flop:  [8♥, 3♣, Q♣]",2024-06-17T18:41:03.375Z,171864966337500
"""Thomers @ 4zGvRs2813"" calls 15.00",2024-06-17T18:41:02.529Z,171864966252900
"""Raymond @ yMVkaBsnXz"" raises to 15.00",2024-06-17T18:41:01.192Z,171864966119200
"""Thomers @ 4zGvRs2813"" posts a big blind of 5.00",2024-06-17T18:40:59.571Z,171864965957105
"""Raymond @ yMVkaBsnXz"" posts a small blind of 2.00",2024-06-17T18:40:59.571Z,171864965957104
"Player stacks: #4 ""Raymond @ yMVkaBsnXz"" (16266.35) | #6 ""Thomers @ 4zGvRs2813"" (3662.55)",2024-06-17T18:40:59.571Z,171864965957101
"-- starting hand #1843 (id: 2uudnwjxeiih)  (No Limit Texas Hold'em) (dealer: ""Raymond @ yMVkaBsnXz"") --",2024-06-17T18:40:59.571Z,171864965957100
"""Raymond @ yMVkaBsnXz"" shows a 5♠, 4♥.",2024-06-17T18:40:56.636Z,171864965663600
"-- ending hand #1842 --",2024-06-17T18:40:55.894Z,171864965589402
"""Thomers @ 4zGvRs2813"" collected 25.00 from pot",2024-06-17T18:40:55.894Z,171864965589401
"Uncalled bet of 12.50 returned to ""Thomers @ 4zGvRs2813""",2024-06-17T18:40:55.894Z,171864965589400
"""Raymond @ yMVkaBsnXz"" folds",2024-06-17T18:40:55.050Z,171864965505000
"""Thomers @ 4zGvRs2813"" bets 12.50",2024-06-17T18:40:54.076Z,171864965407600
"""Raymond @ yMVkaBsnXz"" checks",2024-06-17T18:40:51.422Z,171864965142200
"Turn: K♦, 10♣, 3♦ [8♥]",2024-06-17T18:40:50.562Z,171864965056200
"""Thomers @ 4zGvRs2813"" checks",2024-06-17T18:40:49.733Z,171864964973300
"""Raymond @ yMVkaBsnXz"" checks",2024-06-17T18:40:47.999Z,171864964799900
"Flop:  [K♦, 10♣, 3♦]",2024-06-17T18:40:47.162Z,171864964716200
"""Raymond @ yMVkaBsnXz"" calls 12.50",2024-06-17T18:40:46.319Z,171864964631900
